date,ticker,open,high,low,close,volume
2025-10-22,006400,262000.0,265500.0,258000.0,262500.0,676863.0
2025-10-23,006400,261500.0,264500.0,257000.0,258000.0,520549.0
2025-10-24,006400,261000.0,296500.0,259000.0,293000.0,1641056.0
2025-10-27,006400,304000.0,304500.0,282000.0,285000.0,1695824.0
2025-10-28,006400,282500.0,321000.0,273000.0,312000.0,3688662.0
2025-10-29,006400,312500.0,334000.0,309500.0,331000.0,2181528.0
2025-10-30,006400,335000.0,349500.0,324000.0,325500.0,1784094.0
2025-10-31,006400,316000.0,329000.0,315500.0,322000.0,1007311.0
2025-11-03,006400,328500.0,328500.0,320000.0,327000.0,717628.0
2025-11-04,006400,353000.0,354500.0,335000.0,337500.0,1277759.0
2025-11-05,006400,327500.0,332500.0,310000.0,325000.0,1464201.0
2025-11-06,006400,335000.0,335500.0,318500.0,322000.0,806692.0
2025-11-07,006400,310000.0,318750.0,300000.0,306000.0,912774.0
2025-11-10,006400,308000.0,316000.0,303000.0,315000.0,450539.0
2025-11-11,006400,324000.0,331000.0,314000.0,322000.0,774167.0
2025-11-12,006400,324500.0,325000.0,316000.0,321500.0,342657.0
2025-11-13,006400,321500.0,336500.0,317500.0,334500.0,672268.0
2025-11-14,006400,323000.0,324500.0,315000.0,315000.0,544713.0
2025-11-17,006400,321000.0,324500.0,315000.0,317000.0,324257.0
2025-11-18,006400,317000.0,319000.0,301000.0,301500.0,520118.0
2025-11-19,006400,300500.0,303500.0,290000.0,296500.0,413844.0
2025-11-20,006400,304500.0,307000.0,300500.0,302000.0,247526.0
2025-11-21,006400,289000.0,293250.0,287000.0,288500.0,345160.0
2025-11-24,006400,291500.0,291500.0,280500.0,281000.0,808887.0
2025-11-25,006400,288000.0,289000.0,281000.0,284500.0,265462.0
2025-11-26,006400,288000.0,304500.0,286500.0,304500.0,466323.0
2025-11-27,006400,307000.0,307500.0,300000.0,303000.0,256219.0
2025-11-28,006400,307500.0,308000.0,298000.0,299500.0,339877.0
2025-12-01,006400,301500.0,304500.0,296000.0,299000.0,255242.0
2025-12-02,006400,300500.0,306500.0,297500.0,305000.0,317336.0
2025-12-03,006400,305500.0,306250.0,301000.0,305000.0,224504.0
2025-12-04,006400,305500.0,306000.0,297500.0,302500.0,297211.0
2025-12-05,006400,299500.0,310500.0,299500.0,307500.0,379347.0
2025-12-08,006400,308500.0,314000.0,305000.0,314000.0,507131.0
2025-12-09,006400,310500.0,313000.0,306500.0,310000.0,278714.0
2025-12-10,006400,326000.0,329000.0,314000.0,317500.0,637865.0
2025-12-11,006400,321000.0,321500.0,308000.0,308000.0,463386.0
2025-12-12,006400,310000.0,310000.0,306000.0,308000.0,304163.0
2025-12-15,006400,301500.0,309500.0,298500.0,303000.0,339241.0
2025-12-16,006400,304000.0,304500.0,291500.0,293500.0,480504.0
2025-12-17,006400,296000.0,297000.0,291500.0,295000.0,232155.0
2025-12-18,006400,285000.0,285500.0,277000.0,277000.0,644420.0
2025-12-19,006400,280000.0,280000.0,267500.0,279500.0,691283.0
2025-12-22,006400,282000.0,285000.0,277500.0,282500.0,311296.0
2025-12-23,006400,283000.0,283000.0,277750.0,279500.0,329038.0
2025-12-24,006400,281500.0,283500.0,278500.0,280000.0,206418.0
2025-12-26,006400,280000.0,282500.0,273000.0,274000.0,340872.0
